rights_statement,record_count,rights_category
"Photo: (c) Brendan Doogan, some rights reserved (CC BY-NC);",665,cc_by_nc
"Photo: (c) jcluck, some rights reserved (CC BY-NC);",664,cc_by_nc
CC Attribution-NonCommercial (CC BY-NC),662,cc_by_nc
"Photo: (c) Lek Khauv, some rights reserved (CC BY-NC);",637,cc_by_nc
"Photo: (c) wadia, some rights reserved (CC BY-NC);",623,cc_by_nc
"Photo: (c) Joe Dillon, some rights reserved (CC BY-NC);",606,cc_by_nc
"Photo: (c) Sara Smerdon, some rights reserved (CC BY-NC);",592,cc_by_nc
"Photo: (c) Derek Craig, some rights reserved (CC BY-NC);",583,cc_by_nc
"Photo: (c) Maurice, some rights reserved (CC BY-NC);",576,cc_by_nc
"Photo: (c) aunty, some rights reserved (CC BY-NC);",572,cc_by_nc
"Photo: (c) Donnacha Ó Súilleabháin, some rights reserved (CC BY-NC);",571,cc_by_nc
"Photo: (c) obscurus, some rights reserved (CC BY-NC);",554,cc_by_nc
CC BY-NC (All metadata for this Directory of Open Access Journals record is available under the Creative Commons Attribution-ShareAlike License (CC BY-SA).),545,cc_by_nc
"Photo: (c) ecoblitznz, some rights reserved (CC BY-NC);",544,cc_by_nc
"Photo: (c) codfish, some rights reserved (CC BY-NC);",525,cc_by_nc
"Photo: (c) zealandia, some rights reserved (CC BY-NC);",504,cc_by_nc
"Photo: (c) koraunuischool, some rights reserved (CC BY-NC);",502,cc_by_nc
"Photo: (c) zealandia3, some rights reserved (CC BY-NC);",493,cc_by_nc
Creative Commons Attribution-NonCommercial 4.0 International License. The donor of this material does not allow commercial use.,484,cc_by_nc
"Photo: (c) Selena Chan, some rights reserved (CC BY-NC);",477,cc_by_nc
No restrictions on non-commercial use,471,cc_by_nc
"Photo: (c) Amanda Black, some rights reserved (CC BY-NC);",471,cc_by_nc
"Photo: (c) chrisc, some rights reserved (CC BY-NC);",471,cc_by_nc
"Photo: (c) Shirley Kerr, some rights reserved (CC BY-NC);",470,cc_by_nc
"Photo: (c) Darrell Crisp, some rights reserved (CC BY-NC);",469,cc_by_nc
"Photo: (c) Ben Goodwin, some rights reserved (CC BY-NC);",468,cc_by_nc
"Photo: (c) Paul Taylor, some rights reserved (CC BY-NC);",461,cc_by_nc
"Photo: (c) Oscar Grant, some rights reserved (CC BY-NC);",431,cc_by_nc
"Photo: (c) Katherine, some rights reserved (CC BY-NC);",430,cc_by_nc
"Photo: (c) pelicabbit, some rights reserved (CC BY-NC);",430,cc_by_nc
"Photo: (c) shona_t, some rights reserved (CC BY-NC);",424,cc_by_nc
"Photo: (c) James Tweed, some rights reserved (CC BY-NC);",417,cc_by_nc
"Photo: (c) Gordon Somerville, some rights reserved (CC BY-NC);",414,cc_by_nc
"Photo: (c) Grzegorz Grzejszczak, some rights reserved (CC BY-NC);",410,cc_by_nc
"Photo: (c) Jenny Saito, some rights reserved (CC BY-NC);",408,cc_by_nc
"Photo: (c) Nicola Baines, some rights reserved (CC BY-NC);",401,cc_by_nc
E. Horak:  © Creative Commons Attribution-Noncommercial 3.0 New Zealand,400,cc_by_nc
"Photo: (c) Sarah :), some rights reserved (CC BY-NC);",394,cc_by_nc
"Photo: (c) craig wilson, some rights reserved (CC BY-NC);",390,cc_by_nc
Creative Commons Attribution-NonCommercial 4.0 International License. Please contact us for information about using this material commercially.,385,cc_by_nc
"Photo: (c) Darren vanHoof, some rights reserved (CC BY-NC);",384,cc_by_nc
"Photo: (c) andrewmaungakotukutuku, some rights reserved (CC BY-NC);",384,cc_by_nc
